NAME,MASS,RADIUS,ORB_PERIOD,ECCENTRICITY
Kepler-299 d,0.0136944,0.165938,15.054786,
GJ 436 b,0.0726979,0.3767,2.64385,0.16
Kepler-142 c,0.0245625,0.255152,4.761702,
Kepler-181 c,0.014692,0.177536,4.302149,
Kepler-364 b,0.011604,0.138282,25.745718,
Kepler-173 c,0.0188614,0.21679,8.005777,
Kepler-290 b,0.0169862,0.200732,14.589347,
WASP-37 b,1.79362,1.16,3.577469,0
Kepler-223 c,0.0147725,0.178428,9.848183,
HD 6718 b,1.5591,,2496,0.1
Kepler-224 e,0.0145328,0.175752,18.643577,
Kepler-322 c,0.0123736,0.148987,4.337234,
HD 33636 b,9.26951,,2127.7,0.4805
Kepler-163 c,0.0170837,0.201624,21.347262,
HAT-P-40 b,0.6202,1.73,4.457243,0
HD 240237 b,5.31949,,745.7,0.4
Kepler-169 f,0.0206381,0.230172,87.090195,
Kepler-283 b,0.0158724,0.190026,11.008151,
rho CrB b,1.06409,,39.8449,0.057
Kepler-214 b,0.0210192,0.232849,15.660544,
Kepler-314 b,0.00150361,0.0740476,2.461069,
Kepler-188 c,0.0303861,0.284593,5.996553,
Kepler-233 b,0.0188614,0.21679,8.472382,
Kepler-118 b,0.014454,0.174859,7.518496,
Kepler-110 b,0.013476,0.163262,12.691112,
HD 11977 b,7.40012,,711,0.4
HD 73534 b,1.06828,,1770,0.074
Kepler-195 b,0.0150172,0.181104,8.307872,
Kepler-50 c,0.0234642,0.248685,9.3761368,
HD 164604 b,2.6885,,606.4,0.24
Kepler-359 b,0.0380002,0.314926,25.563222,
Kepler-359 d,0.0520795,0.357748,77.095691,
Kepler-115 b,0.00396389,0.0972433,2.403679,
OGLE-05-071L b,3.8,,3600,
OGLE235-MOA53 b,2.6,,,
HD 37124 c,0.648109,,885.5,0.125
HD 217107 c,2.61546,,4270,0.517222
HD 74156 b,1.77342,,51.638,0.63
Kepler-180 b,0.0117855,0.133821,13.817124,
HD 103774 b,0.368054,,5.8881,0.09
Kepler-43 b,3.23143,1.2,3.024095,0
Kepler-76 b,1.96,,1.545,0
Kepler-310 b,0.00538981,0.106165,13.930698,
Kepler-222 c,0.0710944,0.413953,10.08881,
KELT-6 b,0.43122,1.193,7.8457,0.22
WASP-13 b,0.473883,1.407,4.3530135,0
Kepler-84 c,0.096,0.215,12.883,
HD 13931 b,1.88123,,4218,0.02
Kepler-58 d,0.0258466,0.262289,40.101371,
